iter	Passed	Remaining
0	3	367
1	6	337
2	10	324
3	12	301
4	15	301
5	19	300
6	22	295
7	25	291
8	28	285
9	31	281
10	34	279
11	38	281
12	42	285
13	46	284
14	49	279
15	50	267
16	52	256
17	53	245
18	55	236
19	56	226
20	57	218
21	59	209
22	60	202
23	61	194
24	62	186
25	62	178
26	63	171
27	63	164
28	64	157
29	64	151
30	65	145
31	66	140
32	66	135
33	67	130
34	67	125
35	68	121
36	68	117
37	69	113
38	69	109
39	70	105
40	71	102
41	71	98
42	71	95
43	72	92
44	72	89
45	73	86
46	74	83
47	74	80
48	75	78
49	75	75
50	76	73
51	76	70
52	77	68
53	77	66
54	78	64
55	78	61
56	79	59
57	79	57
58	80	55
59	80	53
60	81	52
61	82	50
62	82	48
63	83	46
64	83	45
65	84	43
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	87	34
72	88	32
73	88	31
74	89	29
75	89	28
76	90	27
77	91	25
78	91	24
79	92	23
80	92	21
81	93	20
82	93	19
83	94	17
84	95	16
85	95	15
86	96	14
87	96	13
88	97	12
89	97	10
90	98	9
91	98	8
92	99	7
93	100	6
94	100	5
95	101	4
96	101	3
97	102	2
98	102	1
99	103	0
