iter	Passed	Remaining
0	180	180656
1	183	91692
2	186	61985
3	189	47089
4	191	38194
5	195	32359
6	198	28191
7	201	24992
8	204	22555
9	209	20705
10	212	19079
11	215	17708
12	217	16529
13	220	15513
14	224	14713
15	226	13953
16	229	13286
17	232	12691
18	235	12153
19	239	11720
20	242	11293
21	245	10901
22	247	10532
23	250	10192
24	254	9915
25	257	9640
26	260	9373
27	262	9127
28	265	8904
29	269	8720
30	272	8515
31	275	8325
32	278	8160
33	282	8034
34	286	7888
35	289	7746
36	292	7603
37	295	7471
38	299	7370
39	302	7255
40	305	7141
41	308	7035
42	312	6945
43	316	6868
44	319	6777
45	322	6694
46	326	6623
47	330	6556
48	333	6477
49	336	6393
50	338	6298
51	341	6228
52	343	6144
53	345	6058
54	347	5977
55	349	5897
56	351	5820
57	353	5748
58	356	5690
59	358	5619
60	360	5551
61	362	5485
62	364	5422
63	366	5361
64	368	5301
65	371	5251
66	373	5196
67	375	5141
68	377	5088
69	378	5033
70	380	4981
71	382	4931
72	385	4891
73	388	4856
74	390	4812
75	392	4770
76	394	4724
77	395	4680
78	397	4639
79	400	4610
80	403	4574
81	405	4534
82	405	4485
83	407	4447
84	409	4412
85	411	4377
86	413	4342
87	416	4312
88	418	4279
89	420	4247
90	421	4215
91	423	4183
92	425	4152
93	427	4121
94	429	4092
95	432	4071
96	434	4040
97	436	4015
98	438	3987
99	440	3960
100	442	3937
101	444	3914
102	446	3891
103	448	3860
104	449	3828
105	450	3798
106	451	3768
107	452	3739
108	453	3708
109	454	3678
110	455	3648
111	456	3620
112	457	3591
113	458	3563
114	459	3537
115	461	3517
116	462	3491
117	463	3466
118	464	3442
119	466	3418
120	467	3394
121	468	3368
122	469	3346
123	470	3322
124	471	3298
125	472	3275
126	473	3251
127	473	3229
128	475	3208
129	477	3193
130	478	3172
131	479	3152
132	480	3133
133	481	3113
134	483	3095
135	484	3076
136	485	3057
137	486	3038
138	487	3018
139	488	2999
140	489	2980
141	490	2962
142	492	2948
143	492	2930
144	494	2914
145	495	2898
146	496	2883
147	498	2868
148	499	2854
149	501	2839
150	502	2823
151	503	2807
152	504	2793
153	506	2782
154	507	2768
155	508	2753
156	510	2739
157	511	2726
158	513	2715
159	514	2701
160	515	2685
161	516	2672
162	517	2657
